total=601
t=0.010000 n=14
40440.130382 1.432194 -0.016738
21305.759107 1.531746 -0.078244
7870.311336 1.681762 -0.390272
9407.940649 1.028052 -0.280692
33468.228907 1.416035 -0.086591
34704.323297 1.538272 -0.074199
47882.117797 1.442370 -0.065147
t=0.100000 n=24
26478.266472 1.399244 0.005818
30784.191210 1.401072 0.010640
14984.031914 1.198908 -0.067085
47694.523716 1.547020 -0.030567
21740.919238 1.601360 -0.060289
22051.182492 1.573553 -0.087970
45084.891092 1.462864 -0.008147
19159.448917 1.340937 -0.053318
24632.512461 1.579732 0.007894
17274.354703 1.582281 -0.000241
44428.339538 1.511828 -0.005296
7831.565239 1.078247 -0.013668
55248.317727 1.456225 0.004531
46051.927075 1.521217 -0.070277
49889.045270 1.464417 -0.012248
17192.557481 1.453411 -0.169668
48196.942043 1.533684 -0.001917
25510.853919 1.554996 -0.118367
32859.172366 1.573952 -0.040086
39265.668635 1.408581 -0.020245
37668.212757 1.590153 -0.035749
29197.523410 1.473495 -0.011443
30666.890168 1.389259 -0.066445
47802.062026 1.446716 -0.061327
t=0.110000 n=18
30719.371935 1.537848 -0.028000
42572.639131 1.517457 0.002934
33930.720122 1.407326 -0.077809
4427.070972 -0.539435 -0.704178
54390.910081 1.498387 -0.048148
43441.584284 1.552963 -0.056231
30761.987561 1.469009 -0.057629
43095.496819 1.460432 -0.053650
3891.072100 1.109099 -0.166821
6018.366316 0.978593 -0.438642
51168.160080 1.580817 0.009214
7438.351548 0.825467 0.016489
33654.454943 1.550381 -0.065130
15211.990980 1.243614 -0.149866
20192.364591 1.240768 -0.073924
31980.939345 1.451040 -0.002437
2557.250321 -0.958429 -0.387687
47727.273490 1.441388 -0.057323
t=0.120000 n=18
11781.468849 1.237834 0.027698
42894.534922 1.444537 -0.069129
21706.929965 1.612129 -0.155515
4050.023816 1.680170 -0.341427
28182.362918 1.424101 0.005652
35552.700707 1.421364 -0.035228
16229.966226 1.474792 0.025821
9087.153387 0.957790 -0.271248
19934.340993 1.244482 -0.041628
43408.774969 1.415344 -0.023804
9122.892325 1.501274 -0.017522
7249.824149 1.672136 -0.333591
18552.630520 1.503029 -0.020405
47672.863533 1.464652 -0.038312
11534.416497 1.041461 -0.005065
12245.424591 1.172637 0.005493
32683.835968 1.488946 -0.019549
47656.827579 1.441673 -0.065538
t=0.130000 n=17
27256.737528 1.414448 -0.054969
41368.906289 1.583064 -0.072708
49546.424953 1.513391 -0.049042
32846.376764 1.541394 -0.026895
49009.060879 1.562906 -0.057359
3408.336159 -1.395321 -0.551041
24373.589230 1.531226 -0.053266
22227.858143 1.350951 0.014890
38974.582380 1.402920 -0.033242
12535.529666 1.166729 -0.049265
30139.380743 1.539670 -0.084106
18395.009656 1.540923 0.009773
37214.971613 1.528466 -0.046565
42545.883756 1.408087 -0.023805
37020.243581 1.535501 0.007014
30207.289705 1.476011 -0.112665
47577.059216 1.447385 -0.067018
t=0.140000 n=20
33043.417285 1.410656 -0.073993
39064.430517 1.435572 -0.003791
25955.821614 1.544169 -0.100254
37161.766285 1.547513 -0.021759
20056.227119 1.414930 -0.074323
16966.249437 1.445647 0.026124
17120.368730 1.257474 -0.069104
43060.002691 1.422049 -0.000272
22569.832359 1.516448 0.021562
15106.843608 1.142266 -0.198669
49587.113248 1.518289 -0.029437
36780.795906 1.406222 -0.038829
12115.054564 1.520396 -0.134144
51452.837228 1.462182 0.000962
42942.159792 1.582355 -0.065163
7307.429441 1.700735 0.057825
28792.130335 1.498646 -0.116287
7600.518688 1.620095 -0.229174
48876.990507 1.475009 -0.055259
47497.282250 1.441608 -0.065694
t=0.150000 n=30
54537.856631 1.482923 -0.060127
50972.569470 1.563351 -0.016731
48613.149112 1.543363 0.002169
25462.843867 1.358132 -0.010356
52208.574368 1.436413 -0.008499
50967.582478 1.453887 -0.055831
49020.480725 1.495295 -0.003693
11124.681029 1.408221 -0.263865
7940.912506 0.518058 -0.435520
33272.320865 1.506581 -0.046984
8600.069397 0.542786 -0.411452
44456.615750 1.506916 0.001678
48144.204404 1.469561 -0.064543
49202.427072 1.509303 -0.006124
51609.659514 1.469235 -0.051260
50080.910694 1.475522 -0.048158
46156.419192 1.454229 0.009371
40668.753383 1.435329 -0.038792
54998.118440 1.452435 -0.004802
8590.948895 1.323258 -0.203041
12747.784291 1.560965 -0.135201
55398.506699 1.487320 -0.027895
18002.385849 1.171812 -0.170461
2284.851449 -1.165247 -0.164351
16383.329243 1.500740 0.006493
4618.001239 -0.034299 0.047722
49814.474950 1.441862 -0.027158
52442.725644 1.450066 -0.045131
7062.426704 0.345104 -0.256936
47423.761122 1.439685 -0.070518
t=0.160000 n=24
46059.409865 1.542417 0.007836
26262.247648 1.374390 -0.024978
16638.999349 1.444546 -0.200137
45558.308370 1.484861 -0.028965
11325.088215 1.360678 -0.019787
55896.852441 1.554462 -0.017993
6431.862234 0.818437 -0.023322
8992.633804 1.462436 -0.355524
27460.347906 1.370369 -0.008196
51998.641168 1.511552 -0.009938
45288.119832 1.460253 0.001196
16160.270037 1.206194 -0.184413
5048.643451 1.148829 -0.596149
5536.613941 1.250731 -0.342528
4649.573252 0.217723 -0.640898
16596.339716 1.392402 -0.040730
41124.619101 1.408060 -0.008263
6086.020887 0.190397 -0.393337
8929.761867 1.500730 -0.332813
17617.903084 1.524761 -0.169891
12954.375790 1.351233 -0.202451
21592.560874 1.596638 0.017191
3633.264833 1.757588 -0.582943
47356.956165 1.452844 -0.064934
t=0.170000 n=25
28916.681324 1.400889 -0.050745
35949.489844 1.461136 -0.097256
56635.317557 1.518460 -0.060486
8613.245329 0.539483 -0.333682
50279.015081 1.567824 -0.003567
21618.831291 1.437585 -0.027272
34151.729096 1.475511 -0.035460
53245.661521 1.535898 0.001959
3400.502354 0.119070 0.018888
2373.926199 1.563040 -0.182061
52969.296279 1.480609 0.007259
35364.951971 1.596614 -0.098632
49924.127360 1.568464 0.004207
47558.176220 1.544224 -0.000877
24832.291273 1.524418 -0.117289
17912.562551 1.331608 0.016297
23228.808700 1.444653 -0.030203
2838.264973 -0.561317 -0.047257
14655.359947 1.627426 0.028233
31343.390734 1.388542 -0.105288
28800.277855 1.366405 -0.016254
13207.294204 1.493527 -0.129920
26640.181999 1.376346 -0.029466
55585.011314 1.460552 -0.035197
